CODE_UIC;CODE UIC8;GARE;Ligne;Handicap Moteur;Handicap Visuel;Handicap Auditif;Handicap Mental
1479;87001479;AEROPORT CHARLES DE GAULLE 2;LIGNE B;2.0;2.0;2.0;2.0
393470;87393470;MARCHEZAIS BROUÉ;LIGNE N;0.0;0.0;0.0;0.0
682427;87682427;FONTAINE LE PORT;LIGNE R;3.0;3.0;3.0;3.0
381129;87381129;CLICHY LEVALLOIS;LIGNE L;2.0;2.0;2.0;2.0
386300;87386300;VALLEES (LES);LIGNE L;3.0;2.0;2.0;2.0
271395;87271395;BOURGET (LE);LIGNE B;2.0;2.0;2.0;2.0
381848;87381848;ARGENTEUIL;LIGNE J;3.0;2.0;2.0;2.0
393645;87393645;GRAVIGNY-BALIZY;LIGNE C;3.0;3.0;3.0;3.0
113217;87113217;NOISY LE SEC;LIGNE E;2.0;2.0;2.0;2.0
116095;87116095;NANGIS;LIGNE P;3.0;2.0;2.0;2.0
684233;87684233;DORDIVE;LIGNE R;0.0;0.0;0.0;0.0
684217;87684217;SOUPPES CHÂTEAU LANDON;LIGNE R;3.0;3.0;3.0;3.0
381483;87381483;MAURECOURT;LIGNE J;3.0;3.0;3.0;3.0
272047;87272047;COMPANS;LIGNE K;3.0;3.0;3.0;3.0
682187;87682187;SAVIGNY LE TEMPLE NANDY;LIGNE D;3.0;2.0;2.0;2.0
393629;87393629;PLAISIR LES CLAYES;LIGNE N;3.0;2.0;2.0;2.0
386680;87386680;MUREAUX (LES);LIGNE J;3.0;2.0;2.0;2.0
684407;87684407;BOIGNEVILLE;LIGNE D;3.0;3.0;3.0;3.0
276279;87276279;ORRY-LA-VILLE COYE-LA-FORÊT;LIGNE D;0.0;2.0;2.0;2.0
113712;87113712;VAL DE FONTENAY;LIGNE E;3.0;2.0;2.0;2.0
386417;87386417;SARTROUVILLE;LIGNE A;2.0;2.0;2.0;2.0
276105;87276105;SAINT-OUEN-L'AUMONE;LIGNE C;2.0;2.0;2.0;2.0
381111;87381111;PONT CARDINET;LIGNE L;3.0;2.0;2.0;2.0
271585;87271585;ORNOY VILLERS;LIGNE K;0.0;0.0;0.0;0.0
381236;87381236;TRIE-CHÂTEAU;LIGNE J;0.0;0.0;0.0;0.0
116640;87116640;CROUY SUR OURCQ;LIGNE P;3.0;3.0;3.0;3.0
382432;87382432;CELLE SAINT-CLOUD (LA);LIGNE L;3.0;2.0;2.0;2.0
164798;87164798;PLAINE STADE DE FRANCE (LA);LIGNE B;2.0;2.0;2.0;2.0
381459;87381459;CONFLANS FIN D'OISE;LIGNE A;2.0;2.0;2.0;2.0
393454;87393454;TACOIGNIERES RICHEBOURG;LIGNE N;3.0;3.0;3.0;3.0
382374;87382374;SURESNES MONT VALERIEN;LIGNE U;2.0;2.0;2.0;2.0
113860;87113860;GARGAN;LIGNE T4;1.0;1.0;1.0;1.0
681635;87681635;COUDRAY MONTCEAUX (LE);LIGNE D;3.0;3.0;3.0;3.0
682138;87682138;BOUSSY SAINT-ANTOINE;LIGNE D;3.0;2.0;2.0;2.0
393058;87393058;CHAMP DE MARS - TOUR EIFFEL BIR HAKEIM;LIGNE C;3.0;2.0;2.0;2.0
381012;87381012;PEREIRE-LEVALLOIS;LIGNE C;3.0;2.0;2.0;2.0
334482;87334482;NEUVILLE UNIVERSITE;LIGNE L;2.0;2.0;2.0;2.0
116160;87116160;PROVINS;LIGNE P;3.0;2.0;2.0;2.0
415893;87415893;BONNIERES;LIGNE J;3.0;2.0;2.0;2.0
393439;87393439;GARANCIERES LA QUEUE;LIGNE N;3.0;3.0;3.0;3.0
276188;87276188;SANNOIS;LIGNE J;2.0;2.0;2.0;2.0
682302;87682302;MONTEREAU;LIGNE R;3.0;2.0;2.0;2.0
116210;87116210;TOURNAN;LIGNE E;2.0;2.0;2.0;2.0
682112;87682112;YERRES;LIGNE D;2.0;2.0;2.0;2.0
697326;87697326;PIERREFITE STAINS;LIGNE T11;1.0;1.0;1.0;1.0
382804;87382804;SAINT-GERMAIN EN LAYE GRANDE CEINTURE;LIGNE L;1.0;1.0;1.0;1.0
271171;87271171;BARRE ORMESSON (LA);LIGNE H;3.0;2.0;2.0;2.0
381152;87381152;BOISSY L'AILLERIE;LIGNE J;3.0;3.0;3.0;3.0
276139;87276139;PONTOISE;LIGNE J;3.0;2.0;2.0;2.0
391532;87391532;VANVES MALAKOFF;LIGNE N;3.0;2.0;2.0;2.0
386409;87386409;HOUILLES CARRIERES SUR SEINE;LIGNE L;2.0;2.0;2.0;2.0
393421;87393421;PLAISIR GRIGNON;LIGNE N;3.0;2.0;2.0;2.0
271528;87271528;MITRY-CLAYE;LIGNE K;2.0;2.0;2.0;2.0
381657;87381657;ACHERES VILLE;LIGNE L;2.0;2.0;2.0;2.0
381491;87381491;ANDRESY;LIGNE J;3.0;2.0;2.0;2.0
276360;87276360;GROSLAY;LIGNE H;2.0;2.0;2.0;2.0
111278;87111278;PORTE DE CLICHY;LIGNE C;3.0;2.0;2.0;2.0
393538;87393538;VAUBOYEN;LIGNE C;3.0;3.0;3.0;3.0
393074;87393074;ISSY;LIGNE C;3.0;2.0;2.0;2.0
